,Name,Price (in Euros),Details
0,"Mini Wafer Bites Choco, Dua Kelinci, 200g","2,59","Inhalt 216 Gramm (0,92 € * / 100 Gramm)"
1,"Masako Sapi, Ajinomoto, 1kg","7,99",Inhalt 1 Kilogramm
2,"Krupuk Mini Kleur (bunt), Tiga Rasa, 60g","2,19","Inhalt 60 Gramm (3,65 € * / 100 Gramm)"
3,"Krupuk Kampoeng ""Dorfkrupuk"" gebraten, Tiga Rasa, 70g","2,19","Inhalt 70 Gramm (3,13 € * / 100 Gramm)"
4,"Rengginang Goreng - Reiskrupuk, gebraten, Tiga Rasa, 125g","2,89","Inhalt 125 Gramm (1,99 € * / 100 Gramm)"
5,"Bon Cabe Makaroni Krispi Level 15 Jumbo Pack, 150g","1,99","Inhalt 150 Gramm (1,33 € * / 100 Gramm)"
6,"Sambal Ijo, Finna, 190g","2,99","Inhalt 190 Gramm (1,57 € * / 100 Gramm)"
7,"Sesamöl, Oh Aik Guan, 360ml","5,49","Inhalt 0.36 Liter (15,25 € * / 1 Liter)"
8,"Bon Cabe Makaroni Krispi Level 10 Jumbo Pack, 150g","1,99","Inhalt 150 Gramm (1,33 € * / 100 Gramm)"
9,"Sambal Bawang, Finna, 190g","2,99","Inhalt 190 Gramm (1,57 € * / 100 Gramm)"
10,"Sambal Kemiri, Finna, 180g","2,99","Inhalt 180 Gramm (1,66 € * / 100 Gramm)"
11,"Sambal Pedas, Finna, 190g","2,99","Inhalt 190 Gramm (1,57 € * / 100 Gramm)"
12,"Sambal Rawit, Finna, 180g","2,99","Inhalt 180 Gramm (1,66 € * / 100 Gramm)"
13,"Sambal Terasi, Finna, 190g","2,99","Inhalt 190 Gramm (1,57 € * / 100 Gramm)"
14,"Asam Jawa Tamarindenpaste, Nona, 198g","3,49","Inhalt 198 Gramm (1,76 € * / 100 Gramm)"
15,"Katjang Pedis, Asli, 150g","2,19","Inhalt 150 Gramm (0,73 € * / 100 Gramm)"
16,"Seroendeng Sedap, Asli, 200g","2,99","Inhalt 200 Gramm (0,75 € * / 100 Gramm)"
17,"Seroendeng, Asli, 200g","2,79","Inhalt 200 Gramm (0,70 € * / 100 Gramm)"
18,"Kentupat Mini Reisbeutel, 8 x 25g (200g)","2,29","Inhalt 200 Gramm (1,15 € * / 100 Gramm)"
19,"Kokosraspel, Rish, 500g","4,99","Inhalt 0.5 Kilogramm (9,98 € * / 1 Kilogramm)"
